観測所名,ふりがな,水系名,河川名,事務所,所管,住所,経度,緯度,入力時使用
大竹港,おおたけこう,中国その他,沿岸部,廿日市支所,港湾漁港整備課,大竹市晴海,132.223816,34.239601,1
広島港,ひろしまこう,中国その他,沿岸部,広島港湾振興,海上保安庁・港湾漁港整備課,広島市南区宇品海岸地先,132.456146,34.353161,1
柿浦港,かきうらこう,中国その他,沿岸部,広島港湾振興,港湾漁港整備課,江田島市大柿町柿浦,132.467941,34.184589,1
呉(阿賀)港,くれあがこう,中国その他,沿岸部,呉支所,港湾漁港整備課,呉市阿賀南,132.604294,34.230022,1
倉橋港,くらはしこう,中国その他,沿岸部,呉支所,港湾漁港整備課,呉市倉橋町海越,132.502457,34.11771,1
御手洗港,みたらいこう,中国その他,沿岸部,呉支所,港湾漁港整備課,呉市豊町久比,132.827423,34.177624,1
竹原港,たけはらこう,中国その他,沿岸部,東広島支所,港湾漁港整備課,竹原市塩町,132.910797,34.334763,1
木江港,きのえこう,中国その他,沿岸部,東広島支所,港湾漁港整備課,豊田郡大崎上島町野賀,132.915283,34.269722,1
糸崎港,いとざきこう,中国その他,沿岸部,三原支所,港湾漁港整備課,三原市城町,133.08342,34.39917,1
尾道港,おのみちこう,中国その他,沿岸部,三原支所,港湾漁港整備課,尾道市西御所町,133.189468,34.402702,1
土生港,はぶこう,中国その他,沿岸部,三原支所,港湾漁港整備課,尾道市因島田熊東港,133.166153,34.303848,1
横田港,よこたこう,中国その他,沿岸部,東部建設,港湾漁港整備課,福山市内海町曽根,133.314316,34.357784,1
福山港,ふくやまこう,中国その他,沿岸部,東部建設,港湾漁港整備課,福山市引野町沖浦,133.415146,34.485867,1
