ダムｺｰﾄﾞ,建設(支)局ｺｰﾄﾞ,分類,水系名,河川名,施設区分,ダム名,管理者,都道府県,位置,緯度,経度,完成年月,集水面積_km2,堤体積_千m3,総貯水容量_千m3,有効貯水容量_千m3,型式,堤高_m,堤頂長_m,診断結果
1,1,河川,小瀬川,小瀬川,ダム,小瀬川ダム,広島県,広島県,廿日市市浅原,34.308043,132.123513,S39.6,135.0,96400,11400,9900,重力式コンクリート,49.0,158.0,C
2,40,河川,沼田川,椋梨川,ダム,椋梨ダム,広島県,広島県,東広島市河内町,34.501654,132.892374,S44.3,160.0,69300,7540,6270,重力式コンクリート,39.5,213.4,C
3,20,河川,野呂川,野呂川,ダム,野呂川ダム,広島県,広島県,呉市安浦町,34.288278,132.709726,S51.3,13.0,96300,1700,1200,重力式コンクリート,44.8,170.0,B2
4,10,河川,八幡川,八幡川,ダム,魚切ダム,広島県,広島県,広島市佐伯区五日市町,34.426726,132.330773,S57.3,38.4,317000,8460,7840,重力式コンクリート,79.8,255.0,B2
5,50,河川,芦田川,御調川,ダム,御調ダム,広島県,広島県,尾道市御調町,34.500054,133.07603,H1.3,54.0,114000,5040,4500,重力式コンクリート,53.1,206.2,C
6,60,河川,芦田川,四川,ダム,四川ダム,広島県,広島県,福山市加茂町,34.59996,133.339337,H17.2,9.0,197600,1650,1550,重力式コンクリート,58.9,251.0,B1
7,50,河川,芦田川,山田川,ダム,山田川ダム,広島県,広島県,世羅郡世羅町,34.640451,133.070279,H18.3,5.6,43400,700,590,重力式コンクリート,32.1,204.8,C
8,10,河川,八幡川,梶毛川,ダム,梶毛ダム,広島県,広島県,広島市佐伯区五日市町,34.439504,132.377572,H20.6,3.5,94100,1060,930,重力式コンクリート,49.0,225.6,C
91,40,河川,沼田川,沼田川,ダム,福富ダム,広島県,広島県,東広島市福富町,34.526739,132.773917,H21.10,53.8,205400,10900,9800,重力式コンクリート,58.0,292.0,C
92,50,河川,芦田川,野間川,ダム,野間川ダム,広島県,広島県,三原市久井町尾道市御調町野間,34.529183,133.068402,H25.6,4.39,25800,560,494,重力式コンクリート,31.5,112.6,C
93,71,河川,江の川,大戸川,ダム,庄原ダム,広島県,広島県,庄原市川西町,34.902435,133.074614,H28.8,4.28,42800,701,638,重力式コンクリート,42.0,118.5,C
94,40,河川,賀茂川,賀茂川,ダム,仁賀ダム,広島県,広島県,竹原市仁賀町,34.376972,132.843633,H24.6,10.5,88800,2710,2500,重力式コンクリート,47.0,154.0,C
